Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.2616, 2060-2079, Ensemble (50th Percentile), Dec Anomaly, NPL
-1.0523, 2060-2079, Ensemble (90th Percentile), Jan Anomaly, NPL
-0.0168, 2060-2079, Ensemble (90th Percentile), Feb Anomaly, NPL
-0.5022, 2060-2079, Ensemble (90th Percentile), Mar Anomaly, NPL
-0.486, 2060-2079, Ensemble (90th Percentile), Apr Anomaly, NPL
-1.1477, 2060-2079, Ensemble (90th Percentile), May Anomaly, NPL
-0.0471, 2060-2079, Ensemble (90th Percentile), Jun Anomaly, NPL
0.02656, 2060-2079, Ensemble (90th Percentile), Jul Anomaly, NPL
0.54876, 2060-2079, Ensemble (90th Percentile), Aug Anomaly, NPL
0.6286, 2060-2079, Ensemble (90th Percentile), Sep Anomaly, NPL
0.02382, 2060-2079, Ensemble (90th Percentile), Oct Anomaly, NPL
0.21718, 2060-2079, Ensemble (90th Percentile), Nov Anomaly, NPL
0.07362, 2060-2079, Ensemble (90th Percentile), Dec Anomaly, NPL
-17.162, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-18.059, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-15.768, 2060-2079, ccsm4, Annual Anomaly, NPL
-22.02, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-21.176, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
-32.345, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-13.165, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-12.556, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-10.346, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-13.011, 2060-2079, hadgem2_es, Annual Anomaly, NPL
-22.753, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
-22.29, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-22.823, 2060-2079, miroc5, Annual Anomaly, NPL
-27.304, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-23.35, 2060-2079, miroc_esm, Annual Anomaly, NPL
-15.564, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-16.299, 2060-2079, noresm1_m, Annual Anomaly, NPL
-29.695, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
-20.087, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
-6.9588, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
