 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 2006     3.9     4.2     3.9     5.4     7.5    10.7    12.3    12.7    11.2     8.4     6.0     4.2     5.6    11.9     8.5     4.0     7.5
 2007     3.5     4.2     3.7     5.2     7.2    10.4    12.9    12.7    12.0     7.9     5.2     4.1     5.4    12.0     8.4     4.1     7.4
 2008     4.4     3.8     4.3     4.9     7.6    10.7    12.4    12.4    11.3     7.8     5.2     4.2     5.6    11.8     8.1     4.1     7.4
 2009     3.7     4.3     4.2     5.1     7.9    11.2    12.7    12.6    11.0     7.7     5.4     4.6     5.7    12.2     8.0     4.0     7.5
 2010     3.5     3.9     4.3     5.7     7.8    11.3    13.3    13.2    12.0     8.5     5.6     4.2     5.9    12.6     8.7     4.0     7.8
 2011     3.7     4.1     4.3     5.2     7.9    10.6    12.9    12.5    11.5     7.9     5.3     4.1     5.8    12.0     8.2     3.9     7.5
 2012     3.5     4.0     3.7     4.8     7.8    12.6    12.9    12.4    11.3     7.6     4.8     4.0     5.4    12.6     7.9     3.8     7.5
 2013     3.4     3.8     4.0     5.1     8.1    10.4    12.9    12.4    11.7     8.4     5.0     4.4     5.7    11.9     8.4     4.2     7.5
 2014     4.1     4.0     3.8     5.0     7.2    10.9    12.9    12.4    11.2     7.7     5.2     4.4     5.3    12.1     8.0     4.2     7.4
 2015     4.0     4.2     4.0     5.1     7.4    10.7    12.3    12.5    11.1     7.7     5.3     4.1     5.5    11.8     8.1     4.1     7.4
 2016     3.8     4.6     4.6     5.4     7.3    10.8    12.4    12.5    11.4     8.0     5.4     4.6     5.8    11.9     8.3     4.2     7.6
 2017     3.8     4.1     4.3     5.6     7.4    10.3    12.6    12.5    11.3     8.1     5.3     4.8     5.8    11.8     8.3     4.5     7.5
 2018     3.9     4.7     4.5     5.5     7.6    10.6    12.6    12.3    11.0     7.6     5.1     4.2     5.9    11.8     7.9  -999.0     7.5
