Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
4.87734, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
4.68764, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
4.5667, 2080-2099, miroc_esm_chem, May Anomaly, NPL
2.94761, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
2.90978, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
1.97821, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
2.71954, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
2.64326, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
4.67679, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
6.05473, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
4.40592, 2080-2099, miroc_esm, Jan Anomaly, NPL
3.6212, 2080-2099, miroc_esm, Feb Anomaly, NPL
3.7058, 2080-2099, miroc_esm, Mar Anomaly, NPL
4.84008, 2080-2099, miroc_esm, Apr Anomaly, NPL
2.99141, 2080-2099, miroc_esm, May Anomaly, NPL
2.8301, 2080-2099, miroc_esm, Jun Anomaly, NPL
2.55883, 2080-2099, miroc_esm, Jul Anomaly, NPL
2.79004, 2080-2099, miroc_esm, Aug Anomaly, NPL
2.90287, 2080-2099, miroc_esm, Sep Anomaly, NPL
2.8044, 2080-2099, miroc_esm, Oct Anomaly, NPL
3.66468, 2080-2099, miroc_esm, Nov Anomaly, NPL
5.02504, 2080-2099, miroc_esm, Dec Anomaly, NPL
3.51309, 2080-2099, mpi_esm_lr, Jan Anomaly, NPL
4.31974, 2080-2099, mpi_esm_lr, Feb Anomaly, NPL
3.21677, 2080-2099, mpi_esm_lr, Mar Anomaly, NPL
4.73413, 2080-2099, mpi_esm_lr, Apr Anomaly, NPL
3.33953, 2080-2099, mpi_esm_lr, May Anomaly, NPL
2.72896, 2080-2099, mpi_esm_lr, Jun Anomaly, NPL
1.61914, 2080-2099, mpi_esm_lr, Jul Anomaly, NPL
1.94231, 2080-2099, mpi_esm_lr, Aug Anomaly, NPL
2.2741, 2080-2099, mpi_esm_lr, Sep Anomaly, NPL
1.98666, 2080-2099, mpi_esm_lr, Oct Anomaly, NPL
2.74075, 2080-2099, mpi_esm_lr, Nov Anomaly, NPL
4.12188, 2080-2099, mpi_esm_lr, Dec Anomaly, NPL
2.90365, 2080-2099, mpi_esm_mr, Jan Anomaly, NPL
3.97643, 2080-2099, mpi_esm_mr, Feb Anomaly, NPL
4.26208, 2080-2099, mpi_esm_mr, Mar Anomaly, NPL
2.2379, 2080-2099, mpi_esm_mr, Apr Anomaly, NPL
1.87753, 2080-2099, mpi_esm_mr, May Anomaly, NPL
1.91216, 2080-2099, mpi_esm_mr, Jun Anomaly, NPL
2.15249, 2080-2099, mpi_esm_mr, Jul Anomaly, NPL
2.15483, 2080-2099, mpi_esm_mr, Aug Anomaly, NPL
2.0817, 2080-2099, mpi_esm_mr, Sep Anomaly, NPL
2.1988, 2080-2099, mpi_esm_mr, Oct Anomaly, NPL
1.9418, 2080-2099, mpi_esm_mr, Nov Anomaly, NPL
2.33927, 2080-2099, mpi_esm_mr, Dec Anomaly, NPL
3.00265, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
2.23725, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
3.74083, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
2.05655, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
2.28722, 2080-2099, mri_cgcm3, May Anomaly, NPL
2.10485, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
1.95302, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
1.84121, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
1.25491, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
1.63985, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
3.13714, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
3.4672, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
3.00373, 2080-2099, noresm1_m, Jan Anomaly, NPL
2.39994, 2080-2099, noresm1_m, Feb Anomaly, NPL
3.02531, 2080-2099, noresm1_m, Mar Anomaly, NPL
