Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-280.11, 2080-2099, mpi_esm_lr, Dec Anomaly, NPL
-296.48, 2080-2099, mpi_esm_mr, Jan Anomaly, NPL
-235.83, 2080-2099, mpi_esm_mr, Feb Anomaly, NPL
-212.21, 2080-2099, mpi_esm_mr, Mar Anomaly, NPL
-136.06, 2080-2099, mpi_esm_mr, Apr Anomaly, NPL
-108.45, 2080-2099, mpi_esm_mr, May Anomaly, NPL
-93.403, 2080-2099, mpi_esm_mr, Jun Anomaly, NPL
-92.532, 2080-2099, mpi_esm_mr, Jul Anomaly, NPL
-84.525, 2080-2099, mpi_esm_mr, Aug Anomaly, NPL
-79.153, 2080-2099, mpi_esm_mr, Sep Anomaly, NPL
-127.14, 2080-2099, mpi_esm_mr, Oct Anomaly, NPL
-172.9, 2080-2099, mpi_esm_mr, Nov Anomaly, NPL
-229.37, 2080-2099, mpi_esm_mr, Dec Anomaly, NPL
-228.16, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
-194.16, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
-207.75, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
-134.74, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
-87.702, 2080-2099, mri_cgcm3, May Anomaly, NPL
-68.995, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
-67.649, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
-68.902, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
-78.385, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
-125.55, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
-194.8, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
-288.04, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
-229.37, 2080-2099, mri_esm1, Jan Anomaly, NPL
-201.1, 2080-2099, mri_esm1, Feb Anomaly, NPL
-195.51, 2080-2099, mri_esm1, Mar Anomaly, NPL
-125.34, 2080-2099, mri_esm1, Apr Anomaly, NPL
-79.163, 2080-2099, mri_esm1, May Anomaly, NPL
-74.158, 2080-2099, mri_esm1, Jun Anomaly, NPL
-66.304, 2080-2099, mri_esm1, Jul Anomaly, NPL
-63.964, 2080-2099, mri_esm1, Aug Anomaly, NPL
-78.477, 2080-2099, mri_esm1, Sep Anomaly, NPL
-121.46, 2080-2099, mri_esm1, Oct Anomaly, NPL
-206.6, 2080-2099, mri_esm1, Nov Anomaly, NPL
-256.42, 2080-2099, mri_esm1, Dec Anomaly, NPL
-232.37, 2080-2099, noresm1_m, Jan Anomaly, NPL
-201.12, 2080-2099, noresm1_m, Feb Anomaly, NPL
-219.57, 2080-2099, noresm1_m, Mar Anomaly, NPL
-126.56, 2080-2099, noresm1_m, Apr Anomaly, NPL
-104.92, 2080-2099, noresm1_m, May Anomaly, NPL
-84.759, 2080-2099, noresm1_m, Jun Anomaly, NPL
-66.936, 2080-2099, noresm1_m, Jul Anomaly, NPL
-67.908, 2080-2099, noresm1_m, Aug Anomaly, NPL
-79.209, 2080-2099, noresm1_m, Sep Anomaly, NPL
-126.76, 2080-2099, noresm1_m, Oct Anomaly, NPL
-184.16, 2080-2099, noresm1_m, Nov Anomaly, NPL
-205.87, 2080-2099, noresm1_m, Dec Anomaly, NPL
-409.34, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-334.73, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
-278.88, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-179.75, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-144.06, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-118.76, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
-121.02, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-123.6, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
-130.36, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
-197.9, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-284.12, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-376.61, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
-287.23, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
-235.66, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
-203.87, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
-136.27, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
-104.9, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
-83.866, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
-77.865, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
-78.329, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
-90.658, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
-138.55, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
-205.84, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
-272.14, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
