Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
6.09435, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
3.79469, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.64526, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.01624, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
10.9006, 2020-2039, access1_0, Annual Anomaly, NPL
9.77211, 2020-2039, access1_3, Annual Anomaly, NPL
12.0365, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
8.47967, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
11.1617, 2020-2039, bnu_esm, Annual Anomaly, NPL
14.7999, 2020-2039, canesm2, Annual Anomaly, NPL
15.1293, 2020-2039, ccsm4, Annual Anomaly, NPL
14.1061, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
12.2071, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
12.3957, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
12.7714, 2020-2039, cmcc_cm, Annual Anomaly, NPL
13.2489, 2020-2039, cmcc_cms, Annual Anomaly, NPL
8.44812, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
11.1078, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
15.789, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
7.34779, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
9.28419, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
5.66314, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
11.0881, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
11.0907, 2020-2039, hadgem2_es, Annual Anomaly, NPL
4.76756, 2020-2039, inmcm4, Annual Anomaly, NPL
12.7908, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
18.8206, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
12.0488, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
15.1416, 2020-2039, miroc5, Annual Anomaly, NPL
15.2706, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
14.3562, 2020-2039, miroc_esm, Annual Anomaly, NPL
13.545, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
11.3209, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
6.88871, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
6.71057, 2020-2039, mri_esm1, Annual Anomaly, NPL
8.00397, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.654, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
10.4768, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
23.3603, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
