Local time in Surkhet,T,Po,P,Pa,U,DD,Ff,N,W1,Tn,Tx,Nh,H,VV,Td,RRR,tR
05.05.2021 08:45,18.4,701.3,759.1,1.7,93,Wind blowing from the south-southeast,3,100%.,Thunderstorm(s) with or without precipitation.,18,,70 – 80%.,300-600,8,17.2,23,24
05.05.2021 05:45,20.4,699.6,756.6,,81,Wind blowing from the north-northeast,1,"90  or more, but not 100%",,,,50%.,600-1000,9,17.1,,
04.05.2021 17:45,29.8,695.8,751.6,-0.6,53,Wind blowing from the south-west,3,"90  or more, but not 100%",Cloud covering more than 1/2 of the sky throughout the appropriate period.,,31.9,40%.,1000-1500,6,19.3,No precipitation,9
04.05.2021 14:45,31.8,696.4,752.2,,46,Wind blowing from the south,4,50%.,,,,40%.,600-1000,9,18.8,,
04.05.2021 08:45,23.4,699.8,755.6,1.5,75,,,,,18.6,,20–30%.,1000-1500,8,18.6,29,24
04.05.2021 05:45,18.6,698.3,754,,96,Wind blowing from the north,2,40%.,Rain.,,,40%.,2000-2500,7,18,,
03.05.2021 17:45,19.8,697.7,753.4,0.1,96,Wind blowing from the east-southeast,4,100%.,Thunderstorm(s) with or without precipitation.,,31.5,60%.,300-600,4,19.1,27,9
03.05.2021 14:45,21.9,697.6,753.2,-1.8,82,Wind blowing from the north-east,10,"90  or more, but not 100%",Thunderstorm(s) with or without precipitation.,,,50%.,200-300,3,18.7,,
03.05.2021 11:45,30.2,699.4,755.1,-0.6,50,Wind blowing from the south-southeast,2,50%.,,,,40%.,600-1000,7,18.8,,
03.05.2021 08:45,25.9,700,755.6,1,60,Wind blowing from the north-northeast,2,no clouds,,19.8,,,,7,17.4,No precipitation,24
03.05.2021 05:45,20,699,754.6,,85,Wind blowing from the north,1,no clouds,,,,,,7,17.3,,
02.05.2021 17:45,29.9,697.6,753.2,-0.8,51,Wind blowing from the west,2,"90  or more, but not 100%",Thunderstorm(s) with or without precipitation.,,31.8,50%.,300-600,7,18.8,No precipitation,9
02.05.2021 14:45,31.4,698.4,753.8,-2.8,47,Wind blowing from the north-northeast,3,40%.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,20–30%.,300-600,9,18.9,,
02.05.2021 11:45,27.8,701.2,757.3,,59,Wind blowing from the south-southeast,2,50%.,Rain.,,,50%.,600-1000,8,19.1,,
02.05.2021 05:45,20.8,700,755.5,,78,,,,,,,"10%  or less, but not 0",2000-2500,7,16.9,,
01.05.2021 17:45,31.8,697.5,752.9,-0.9,45,,,,,,33.7,40%.,1000-1500,7,18.4,No precipitation,9
